housing_units,sale_price_sqr_foot,gross_rent
372560,369.3443533294297,1239
374507,341.90342918010583,1530
376454,399.38996844881916,2324
378401,483.6003042611178,2971
380348,556.2772734475082,3528
382295,632.5403520321689,3739
384242,697.6437091165371,4390
